"","gnd_id","author","title","date","link"
"48564","http://d-nb.info/gnd/118629387","Jakob Wassermann","Joseph Kerkhovens d…",1934,"https://kolimo.uni-goettingen.de/text.html?id=gb10811"
"48579","http://d-nb.info/gnd/118629387","Jakob Wassermann","Joseph Kerkhovens d…",1934,"https://kolimo.uni-goettingen.de/text.html?id=gb10817"
"69113","http://d-nb.info/gnd/133251381","Robert Seitz","Das Börshooper Buch",1934,"https://kolimo.uni-goettingen.de/text.html?id=gb5926"
"9653","http://d-nb.info/gnd/118997718","Annemarie Schwarzen…","Lyrische Novelle",1933,"https://kolimo.uni-goettingen.de/text.html?id=gb2971"
"22060","http://d-nb.info/gnd/118590391","Carl von Ossietzky","Sämtliche Schriften…",1933,"https://kolimo.uni-goettingen.de/text.html?id=gb17027"
"23326","http://d-nb.info/gnd/118685899","Johannes Daniel Falk","Goethes erste Bekan…",1933,"https://kolimo.uni-goettingen.de/text.html?id=gb8026"
"25702","http://d-nb.info/gnd/11861956X","Eduard Stucken","Giuliano",1933,"https://kolimo.uni-goettingen.de/text.html?id=gb15573"
"28394","http://d-nb.info/gnd/119320525","Friede H. Kraze","Garba",1933,"https://kolimo.uni-goettingen.de/text.html?id=gb8002"
"28436","http://d-nb.info/gnd/118535315","Sigmund Freud","Neue Folge der Vorl…",1933,"https://kolimo.uni-goettingen.de/text.html?id=gb12346"
"28458","http://d-nb.info/gnd/118535315","Sigmund Freud","Warum Krieg?",1933,"https://kolimo.uni-goettingen.de/text.html?id=gb12321"
"29082","http://d-nb.info/gnd/118685619","Kurt Faber","Tausend und ein Abe…",1933,"https://kolimo.uni-goettingen.de/text.html?id=gb2044"
"37256","http://d-nb.info/gnd/118697927","Georg Groddeck","Der Mensch als Symb…",1933,"https://kolimo.uni-goettingen.de/text.html?id=gb16695"
"37292","http://d-nb.info/gnd/118537490","Ludwig Ganghofer","Bergheimat",1933,"https://kolimo.uni-goettingen.de/text.html?id=gb11658"
"48044","http://d-nb.info/gnd/118563238","Jochen Klepper","Der Kahn der fröhli…",1933,"https://kolimo.uni-goettingen.de/text.html?id=gb11584"
"49054","http://d-nb.info/gnd/116754184","Joseph von Lauff","Die Heilige vom Nie…",1933,"https://kolimo.uni-goettingen.de/text.html?id=gb7837"
"57023","http://d-nb.info/gnd/118668250","Karel Čapek","Hordubal",1933,"https://kolimo.uni-goettingen.de/text.html?id=gb2627"
"60928","http://d-nb.info/gnd/1027233732","Oswald Levett","Verirrt in den Zeit…",1933,"https://kolimo.uni-goettingen.de/text.html?id=gb16818"
"61063","http://d-nb.info/gnd/122250656","Meinrad Lienert","Das Glöcklein auf R…",1933,"https://kolimo.uni-goettingen.de/text.html?id=gb8903"
